,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
"[0, -1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
"[0, -1, 0, 0, 1, 0, 0, 1, 0, 0, 0, -1, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 0, 1, 1, 0, 0, 1, 0, 0, 0, -1, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,-0.9,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,0.0,0.0,0.0
"[0, -1, 0, 1, 1, -1, 0, 1, 0, 0, 0, -1, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 1, 1, 1, -1, 0, 1, 0, 0, 0, -1, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.950000000000001,0.0,0.0,0.0,0.0,0.0,0.0
"[0, -1, 1, 1, 1, -1, 0, 1, 0, -1, 0, -1, 1, 0, -1, 0]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, -1]",0.0,-2.45,0.0,0.0,0.0,0.0,0.0,-0.85,-0.35000000000000003,0.0,0.0,0.0,0.0,18.567778613140543,0.0,0.0
"[0, 0, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, 0, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 0, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[0, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, 0, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.6,0.0,0.0,0.0
"[0, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, 0, -1, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.05,0.0,0.0,0.0,0.0
"[1, 1, 0, -1, 0, 0, 1, 0, -1, 0, 0, -1, -1, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, -1, 0, 0, 1, 1, -1, 0, 0, -1, -1, 0, 1, -1]",-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.55,0.0,-1000000.0,0.0,0.0,0.0
"[1, 1, 0, -1, 0, 0, 1, 1, -1, 0, -1, -1, -1, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[1, 1, 0, -1, 1, 0, 1, 1, -1, 0, -1, -1, -1, 0, 1, -1]",-1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.15,0.0,0.0,0.0,0.0,0.0,-1000000.0
"[1, 1, 0, -1, 1, 0, 1, 1, -1, -1, -1, -1, -1, 0, 1, -1]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
